transaction_id,transaction_date,customer_id,product_category,region,status,amount,is_approved,is_refunded,reporting_date
TXN-00104,2025-01-01,3854,Invoices,Asia Pacific,approved,983.49,1,0,2025-01-01
TXN-00303,2025-01-01,5091,Risk,Europe,approved,1372.44,1,0,2025-01-01
TXN-00381,2025-01-01,4463,Billing,Europe,approved,1830.54,1,0,2025-01-01
TXN-00465,2025-01-01,8351,Subscriptions,Latin America,approved,1423.2,1,0,2025-01-01
TXN-00575,2025-01-01,7268,Billing,North America,approved,511.86,1,0,2025-01-01
TXN-00707,2025-01-01,2208,Payments,Asia Pacific,approved,380.95,1,0,2025-01-01
TXN-00773,2025-01-01,3672,Invoices,Europe,failed,1935.71,0,0,2025-01-01
TXN-00845,2025-01-01,6287,Billing,Europe,approved,536.24,1,0,2025-01-01
TXN-00846,2025-01-01,3316,Invoices,Europe,refunded,2445.33,0,1,2025-01-01
TXN-00901,2025-01-01,1058,Invoices,Latin America,approved,2112.59,1,0,2025-01-01
TXN-01070,2025-01-01,9339,Payments,Europe,refunded,1385.44,0,1,2025-01-01
TXN-01175,2025-01-01,9378,Invoices,Middle East,approved,1191.21,1,0,2025-01-01
TXN-01190,2025-01-01,9838,Billing,Europe,approved,477.77,1,0,2025-01-01
TXN-01237,2025-01-01,6167,Billing,Europe,failed,1586.43,0,0,2025-01-01
TXN-01279,2025-01-01,4497,Risk,Asia Pacific,approved,1484.09,1,0,2025-01-01
TXN-01294,2025-01-01,5813,Payments,Latin America,approved,1000.9,1,0,2025-01-01
TXN-01409,2025-01-01,2148,Subscriptions,Asia Pacific,approved,1143.52,1,0,2025-01-01
TXN-01482,2025-01-01,1542,Subscriptions,Asia Pacific,approved,2289.44,1,0,2025-01-01
TXN-01488,2025-01-01,8035,Subscriptions,Middle East,approved,278.15,1,0,2025-01-01
TXN-00233,2025-01-02,7294,Risk,Asia Pacific,approved,1457.31,1,0,2025-01-02
TXN-00300,2025-01-02,5697,Billing,Middle East,approved,1796.62,1,0,2025-01-02
TXN-00369,2025-01-02,1271,Invoices,Latin America,approved,801.78,1,0,2025-01-02
TXN-00410,2025-01-02,9459,Invoices,Asia Pacific,failed,526.36,0,0,2025-01-02
TXN-00415,2025-01-02,3955,Invoices,Asia Pacific,approved,1600.5,1,0,2025-01-02
TXN-00478,2025-01-02,4081,Invoices,North America,approved,449.38,1,0,2025-01-02
TXN-00540,2025-01-02,5046,Billing,Europe,approved,1515.82,1,0,2025-01-02
TXN-00790,2025-01-02,4749,Subscriptions,Europe,refunded,921.6,0,1,2025-01-02
TXN-00801,2025-01-02,3406,Billing,North America,failed,185.52,0,0,2025-01-02
TXN-00839,2025-01-02,1390,Billing,Europe,approved,1612.96,1,0,2025-01-02
TXN-00889,2025-01-02,9600,Payments,Middle East,approved,447.87,1,0,2025-01-02
TXN-01038,2025-01-02,5487,Risk,Latin America,approved,1876.49,1,0,2025-01-02
TXN-01121,2025-01-02,8623,Risk,North America,approved,1089.22,1,0,2025-01-02
TXN-01167,2025-01-02,3166,Invoices,Europe,approved,1874.58,1,0,2025-01-02
TXN-01366,2025-01-02,1316,Billing,Middle East,approved,2316.72,1,0,2025-01-02
TXN-00138,2025-01-03,6595,Invoices,Middle East,refunded,2124.98,0,1,2025-01-03
